year,crimetype,violent,arrest,domestic,commarea,location
2017,vandalism,0,0,0,2,RESIDENCE
2017,weapon,0,1,0,66,STREET
2017,trespass,0,1,0,24,CTA PLATFORM
2017,simpleasslt,1,0,1,44,APARTMENT
2017,fraud,0,0,0,76,AIRPORT VENDING ESTABLISHMENT
2017,simpleasslt,1,0,0,48,RESIDENCE
2017,theft,0,0,0,1,RESIDENCE
2017,simpleasslt,1,0,0,49,ALLEY
2017,vandalism,0,1,0,43,CURRENCY EXCHANGE
2017,vandalism,0,0,0,8,HOSPITAL BUILDING/GROUNDS
2017,vandalism,0,0,0,57,RESIDENCE
2017,simpleasslt,1,0,1,35,RESIDENCE PORCH/HALLWAY
2017,theft,0,0,0,73,VACANT LOT/LAND
2017,burglary,0,1,0,67,RESIDENCE
2017,simpleasslt,1,0,1,66,APARTMENT
2017,other,0,0,0,29,RESIDENCE
2017,fraud,0,0,0,70,OTHER
2017,simpleasslt,1,0,0,43,STREET
2017,fraud,0,0,0,5,RESIDENCE
2017,theft,0,1,0,44,BAR OR TAVERN
2017,vandalism,0,0,0,38,RESIDENCE
2017,theft,0,0,0,32,DRUG STORE
2017,theft,0,0,0,23,RESIDENCE
2017,burglary,0,1,0,60,RESIDENCE-GARAGE
2017,theft,0,0,1,25,STREET
2017,simpleasslt,1,0,0,23,RESIDENCE PORCH/HALLWAY
2017,theft,0,0,0,60,OTHER
2017,aggasslt,1,0,1,35,RESIDENCE
2017,threat,0,0,1,71,RESIDENCE
2017,vandalism,0,0,0,24,RESIDENCE PORCH/HALLWAY
2017,other,0,0,1,48,RESIDENCE
2017,robbery,1,0,0,1,SIDEWALK
2017,aggasslt,1,0,0,27,SIDEWALK
2017,simpleasslt,1,0,0,61,RESIDENCE
2017,vandalism,0,0,0,66,APARTMENT
2017,vandalism,0,0,0,67,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2017,fraud,0,0,0,24,COMMERCIAL / BUSINESS OFFICE
2017,fraud,0,0,0,70,RESIDENCE
2017,simpleasslt,1,0,1,66,SIDEWALK
2017,theft,0,0,0,7,RESIDENCE
2017,simpleasslt,1,1,1,61,RESIDENCE
2017,theft,0,0,0,23,RESIDENCE
2017,aggasslt,1,0,0,52,RESIDENCE
2017,threat,0,0,1,43,RESIDENCE
2017,robbery,1,0,0,22,SIDEWALK
2017,threat,0,0,1,71,RESTAURANT
2017,theft,0,0,0,56,GROCERY FOOD STORE
2017,simpleasslt,1,0,0,68,APARTMENT
2017,vandalism,0,0,0,18,SMALL RETAIL STORE
2017,theft,0,0,0,8,VEHICLE NON-COMMERCIAL
2017,simpleasslt,1,0,1,43,SIDEWALK
2017,vandalism,0,0,0,12,BANK
2017,narcotics,0,1,0,29,POLICE FACILITY/VEH PARKING LOT
2017,simpleasslt,1,0,1,23,RESIDENCE
2017,threat,0,0,0,7,RESIDENCE
2017,theft,0,0,0,29,APARTMENT
2017,simpleasslt,1,0,1,18,APARTMENT
2017,simpleasslt,1,0,0,44,DEPARTMENT STORE
2017,aggasslt,1,0,0,73,SIDEWALK
2017,simpleasslt,1,1,0,34,CHA PARKING LOT/GROUNDS
2017,simpleasslt,1,0,0,35,"SCHOOL, PUBLIC, BUILDING"
2017,threat,0,0,0,8,GROCERY FOOD STORE
2017,simpleasslt,1,1,1,25,SIDEWALK
2017,narcotics,0,1,0,25,GAS STATION
2017,theft,0,0,0,6,RESIDENCE-GARAGE
2017,theft,0,0,0,32,SMALL RETAIL STORE
2017,simpleasslt,1,0,0,21,"SCHOOL, PUBLIC, BUILDING"
2017,simpleasslt,1,0,1,32,SIDEWALK
2017,robbery,1,0,0,23,SIDEWALK
2017,burglary,0,0,0,23,SMALL RETAIL STORE
2017,simpleasslt,1,1,1,68,APARTMENT
2017,robbery,1,0,0,43,APARTMENT
2017,burglary,0,0,0,25,RESIDENCE PORCH/HALLWAY
2017,theft,0,0,0,28,DEPARTMENT STORE
2017,theft,0,1,0,73,SMALL RETAIL STORE
2017,simpleasslt,1,0,0,32,RESTAURANT
2017,theft,0,0,0,19,STREET
2017,aggasslt,1,0,0,66,STREET
2017,vandalism,0,0,1,46,RESIDENCE
2017,simpleasslt,1,0,0,50,GAS STATION
2017,theft,0,0,0,24,STREET
2017,theft,0,0,1,73,RESIDENCE
2017,simpleasslt,1,0,1,68,APARTMENT
2017,burglary,0,0,0,70,RESIDENCE
2017,theft,0,0,0,28,RESTAURANT
2017,simpleasslt,1,1,0,67,"SCHOOL, PUBLIC, BUILDING"
2017,vandalism,0,0,1,27,RESIDENCE PORCH/HALLWAY
2017,mvtheft,0,0,0,70,STREET
2017,theft,0,0,0,8,ALLEY
2017,theft,0,1,0,8,DEPARTMENT STORE
2017,aggasslt,1,0,0,71,APARTMENT
2018,narcotics,0,1,0,25,STREET
2017,theft,0,0,0,61,OTHER
2018,other,0,1,0,69,STREET
2018,simpleasslt,1,0,0,43,SIDEWALK
2018,simpleasslt,1,0,1,61,STREET
2018,aggasslt,1,0,1,53,DRIVEWAY - RESIDENTIAL
2017,fraud,0,0,0,49,
2018,trespass,0,1,0,43,APARTMENT
2018,theft,0,0,0,69,RESIDENCE
2018,theft,0,0,0,32,DEPARTMENT STORE
2018,theft,0,0,1,43,RESIDENCE
2018,other,0,1,0,43,ALLEY
2018,theft,0,0,0,76,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
2018,simpleasslt,1,0,0,35,OTHER
2018,other,0,1,0,52,"SCHOOL, PUBLIC, BUILDING"
2018,threat,0,0,0,29,OTHER
2018,mvtheft,0,0,0,25,STREET
2018,simpleasslt,1,0,0,29,STREET
2018,theft,0,0,0,2,APARTMENT
2018,simpleasslt,1,0,1,67,STREET
2018,theft,0,0,0,34,STREET
2018,simpleasslt,1,1,1,32,STREET
2018,other,0,0,0,10,GAS STATION
2018,simpleasslt,1,0,0,43,RESIDENCE
2018,simpleasslt,1,0,0,3,OTHER
2018,vandalism,0,0,0,39,STREET
2018,theft,0,0,0,28,SMALL RETAIL STORE
2018,narcotics,0,1,0,25,STREET
2018,burglary,0,0,0,32,APARTMENT
2018,vandalism,0,0,1,71,STREET
2018,vandalism,0,0,0,15,RESIDENCE
2018,mvtheft,0,0,0,3,STREET
2018,threat,0,0,1,25,APARTMENT
2018,theft,0,0,0,51,STREET
2018,theft,0,0,0,23,GAS STATION
2018,theft,0,0,0,32,CTA TRAIN
2018,robbery,1,0,0,31,STREET
2018,theft,0,0,0,56,STREET
2018,fraud,0,0,0,19,RESIDENCE
2018,aggasslt,1,1,0,17,COLLEGE/UNIVERSITY GROUNDS
2018,burglary,0,0,0,75,OTHER
2018,narcotics,0,1,0,29,VACANT LOT/LAND
2018,vandalism,0,0,1,71,STREET
2018,simpleasslt,1,1,0,67,RESIDENCE
2018,threat,0,0,1,25,HOSPITAL BUILDING/GROUNDS
2018,theft,0,0,1,31,"SCHOOL, PRIVATE, BUILDING"
2018,theft,0,0,0,32,CTA TRAIN
2018,trespass,0,0,0,63,RESIDENCE PORCH/HALLWAY
2018,theft,0,0,0,33,TAXICAB
2018,simpleasslt,1,1,0,40,PARK PROPERTY
2018,fraud,0,0,0,38,APARTMENT
2018,simpleasslt,1,0,0,35,CHA APARTMENT
2018,fraud,0,0,0,30,BANK
2018,simpleasslt,1,0,0,29,"SCHOOL, PUBLIC, GROUNDS"
2018,theft,0,0,0,14,RESIDENCE
2018,vandalism,0,0,0,41,STREET
2018,vandalism,0,0,0,31,STREET
2018,simpleasslt,1,0,0,69,RESTAURANT
2018,theft,0,0,0,73,STREET
2018,vandalism,0,0,0,40,STREET
2018,theft,0,0,0,24,STREET
2018,simpleasslt,1,0,0,68,SIDEWALK
2018,aggasslt,1,0,0,42,APARTMENT
2018,theft,0,0,0,16,CONVENIENCE STORE
2018,threat,0,0,1,66,ALLEY
2018,aggasslt,1,0,1,45,SIDEWALK
2018,sexualasslt,1,0,0,33,APARTMENT
2018,simpleasslt,1,0,0,49,SMALL RETAIL STORE
2018,simpleasslt,1,0,0,56,APARTMENT
2018,fraud,0,0,0,2,RESIDENCE
2018,mvtheft,0,0,0,25,STREET
2018,simpleasslt,1,0,0,25,APARTMENT
2018,theft,0,0,0,6,RESIDENCE
2018,mvtheft,0,0,0,16,STREET
2018,mvtheft,0,0,0,15,PARKING LOT/GARAGE(NON.RESID.)
2018,theft,0,0,0,19,GROCERY FOOD STORE
2018,simpleasslt,1,1,1,31,FACTORY/MANUFACTURING BUILDING
2018,simpleasslt,1,0,0,44,CTA TRAIN
2018,narcotics,0,1,0,32,PARK PROPERTY
2018,theft,0,0,0,8,RESIDENCE
2018,theft,0,1,0,51,SMALL RETAIL STORE
2018,theft,0,0,0,58,STREET
2018,theft,0,0,0,32,PARKING LOT/GARAGE(NON.RESID.)
2018,theft,0,0,0,66,RESIDENCE
2018,threat,0,0,1,67,RESIDENCE
2018,trespass,0,1,0,25,GAS STATION
2018,robbery,1,0,0,6,SIDEWALK
2018,aggasslt,1,0,0,77,RESIDENCE
2018,narcotics,0,1,0,66,STREET
2018,simpleasslt,1,0,0,16,SIDEWALK
2018,vandalism,0,1,1,74,RESIDENCE
2018,trespass,0,1,0,6,RESIDENCE PORCH/HALLWAY
2018,simpleasslt,1,0,1,70,RESIDENCE
2018,vandalism,0,0,0,35,STREET
2018,vandalism,0,0,0,32,PARKING LOT/GARAGE(NON.RESID.)
2018,simpleasslt,1,0,0,31,BAR OR TAVERN
2018,narcotics,0,1,0,29,SIDEWALK
2018,simpleasslt,1,0,1,43,SIDEWALK
2018,theft,0,0,0,6,STREET
2018,theft,0,0,0,49,STREET
2018,robbery,1,0,0,69,SIDEWALK
2018,mvtheft,0,0,0,25,STREET
2018,simpleasslt,1,0,0,2,RESIDENTIAL YARD (FRONT/BACK)
2018,aggasslt,1,0,0,43,SIDEWALK
2018,theft,0,0,0,24,STREET
2018,simpleasslt,1,0,1,53,APARTMENT
2018,theft,0,0,0,49,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2018,simpleasslt,1,0,0,24,SIDEWALK
2018,theft,0,0,0,25,STREET
2018,burglary,0,0,0,54,CHA APARTMENT
2018,aggasslt,1,0,1,49,RESIDENCE
2018,fraud,0,0,0,8,COMMERCIAL / BUSINESS OFFICE
2018,vandalism,0,0,0,67,ALLEY
2018,burglary,0,0,0,72,RESIDENCE-GARAGE
2018,trespass,0,1,0,46,RESIDENCE
2018,vandalism,0,0,0,6,STREET
2018,weapon,0,1,0,63,ALLEY
2018,simpleasslt,1,0,1,67,SIDEWALK
2018,theft,0,0,1,23,APARTMENT
2018,theft,0,0,0,61,RESIDENCE
2018,vandalism,0,0,0,1,STREET
2018,narcotics,0,1,0,29,STREET
2018,trespass,0,0,0,32,APARTMENT
2018,other,0,0,0,38,APARTMENT
2018,simpleasslt,1,0,0,8,CTA STATION
2018,simpleasslt,1,0,1,4,RESIDENCE
2018,trespass,0,0,0,33,RESIDENCE-GARAGE
2018,aggasslt,1,0,0,29,STREET
2018,simpleasslt,1,0,1,43,APARTMENT
2018,simpleasslt,1,0,0,61,APARTMENT
2018,theft,0,0,0,69,STREET
2018,burglary,0,0,0,60,RESIDENCE
2018,burglary,0,0,0,77,RESIDENCE-GARAGE
2018,narcotics,0,1,0,68,STREET
2018,theft,0,0,0,41,APARTMENT
2018,theft,0,0,0,7,SIDEWALK
2018,simpleasslt,1,1,0,71,STREET
2018,fraud,0,0,0,10,
2018,simpleasslt,1,0,1,69,RESIDENCE
2018,theft,0,0,0,67,VEHICLE NON-COMMERCIAL
2018,sexualasslt,1,0,0,8,APARTMENT
2018,theft,0,0,0,7,STREET
2018,theft,0,0,0,32,STREET
2018,vandalism,0,0,0,43,APARTMENT
2018,vandalism,0,0,0,15,PARKING LOT/GARAGE(NON.RESID.)
2018,robbery,1,1,0,24,SMALL RETAIL STORE
2018,fraud,0,0,0,19,SMALL RETAIL STORE
2018,simpleasslt,1,0,0,60,PARKING LOT/GARAGE(NON.RESID.)
2018,simpleasslt,1,0,0,3,HOSPITAL BUILDING/GROUNDS
2018,burglary,0,0,0,1,APARTMENT
2018,simpleasslt,1,0,0,25,"SCHOOL, PUBLIC, BUILDING"
2018,fraud,0,0,0,53,RESIDENCE
2018,trespass,0,1,0,46,RESIDENCE
2018,theft,0,0,0,65,SMALL RETAIL STORE
2018,theft,0,0,0,6,STREET
2018,simpleasslt,1,0,0,22,SIDEWALK
2018,fraud,0,0,0,16,OTHER
2018,simpleasslt,1,0,0,49,SIDEWALK
2018,simpleasslt,1,1,0,15,RESIDENCE
2018,narcotics,0,1,0,14,SIDEWALK
2018,fraud,0,0,0,3,RESIDENCE
2018,trespass,0,1,0,46,RESIDENCE PORCH/HALLWAY
2018,simpleasslt,1,1,1,71,RESIDENCE
2018,narcotics,0,1,0,1,VEHICLE NON-COMMERCIAL
2018,simpleasslt,1,1,1,49,APARTMENT
2018,simpleasslt,1,0,1,25,APARTMENT
2018,other,0,1,0,14,"SCHOOL, PUBLIC, BUILDING"
2018,simpleasslt,1,0,0,44,OTHER
2018,fraud,0,0,0,28,OTHER
2018,theft,0,0,0,7,STREET
2018,aggasslt,1,0,0,27,RESIDENCE
2018,threat,0,0,0,35,CHA APARTMENT
2018,mvtheft,0,0,0,17,STREET
2018,burglary,0,0,0,43,APARTMENT
2018,theft,0,0,0,30,OTHER
2018,other,0,0,0,49,OTHER
2018,vandalism,0,0,0,51,APARTMENT
2018,theft,0,0,0,35,OTHER
2018,theft,0,0,0,31,DEPARTMENT STORE
2018,theft,0,0,0,69,APARTMENT
2018,vandalism,0,0,0,28,RESIDENCE
2018,trespass,0,0,0,3,APARTMENT
2018,simpleasslt,1,0,0,8,SIDEWALK
2018,robbery,1,0,0,23,SIDEWALK
2018,vandalism,0,0,0,27,STREET
2018,burglary,0,0,0,66,RESIDENCE-GARAGE
2018,other,0,0,0,14,APARTMENT
2019,fraud,0,0,0,49,RESIDENCE
2019,other,0,1,0,75,STREET
2019,vandalism,0,0,0,69,STREET
2018,fraud,0,0,0,27,VEHICLE-COMMERCIAL
2018,theft,0,0,0,3,RESIDENCE PORCH/HALLWAY
2019,simpleasslt,1,0,0,11,PARKING LOT/GARAGE(NON.RESID.)
2019,aggasslt,1,0,0,28,RESTAURANT
2019,vandalism,0,0,0,25,RESIDENCE PORCH/HALLWAY
2019,simpleasslt,1,0,1,69,RESIDENCE
2019,theft,0,0,0,7,APARTMENT
2019,simpleasslt,1,0,0,23,SMALL RETAIL STORE
2019,other,0,0,0,15,STREET
2019,trespass,0,0,0,1,RESIDENCE
2019,aggasslt,1,0,0,30,STREET
2019,theft,0,0,0,35,STREET
2019,theft,0,0,0,38,RESIDENCE
2019,other,0,0,0,11,RESIDENCE
2019,theft,0,0,0,71,RESIDENCE
2019,theft,0,0,0,19,COMMERCIAL / BUSINESS OFFICE
2019,aggasslt,1,0,1,44,APARTMENT
2019,aggasslt,1,0,0,3,STREET
2019,burglary,0,0,0,73,CONVENIENCE STORE
2019,theft,0,1,0,76,AIRPORT BUILDING NON-TERMINAL - NON-SECURE ARE
2019,trespass,0,0,0,75,STREET
2019,theft,0,0,0,8,SMALL RETAIL STORE
2019,threat,0,1,1,38,RESIDENCE
2019,threat,0,0,0,68,RESIDENCE
2019,fraud,0,1,0,49,CTA PLATFORM
2019,simpleasslt,1,0,1,77,RESIDENCE
2019,narcotics,0,1,0,62,PARKING LOT/GARAGE(NON.RESID.)
2019,simpleasslt,1,0,1,43,RESIDENCE
2019,vandalism,0,0,0,43,APARTMENT
2019,simpleasslt,1,0,0,24,CHA PARKING LOT/GROUNDS
2019,fraud,0,0,0,35,GAS STATION
2019,weapon,0,1,0,68,STREET
2019,theft,0,0,0,43,DEPARTMENT STORE
2019,theft,0,0,0,25,RESIDENCE
2019,simpleasslt,1,1,0,42,APARTMENT
2019,fraud,0,0,0,18,OTHER
2019,fraud,0,0,0,32,DRUG STORE
2019,theft,0,0,0,29,PARKING LOT/GARAGE(NON.RESID.)
2019,vandalism,0,0,0,69,RESIDENCE
2019,trespass,0,0,0,61,OTHER
2019,aggasslt,1,0,0,60,SIDEWALK
2019,fraud,0,0,0,29,OTHER
2019,simpleasslt,1,1,0,15,APARTMENT
2019,narcotics,0,1,0,23,SIDEWALK
2019,narcotics,0,1,0,23,SIDEWALK
2019,simpleasslt,1,0,0,31,RESTAURANT
2019,theft,0,0,0,62,STREET
2019,theft,0,0,0,32,PARKING LOT/GARAGE(NON.RESID.)
2019,theft,0,0,0,25,STREET
2019,simpleasslt,1,0,0,33,STREET
2019,trespass,0,0,0,26,RESIDENCE
2019,fraud,0,0,0,8,DEPARTMENT STORE
2019,simpleasslt,1,0,1,67,RESIDENCE
2019,simpleasslt,1,0,1,68,STREET
2019,theft,0,0,0,68,CTA STATION
2019,vandalism,0,0,0,22,STREET
2019,theft,0,0,0,57,OTHER
2001,theft,0,0,0,,APARTMENT
2001,simpleasslt,1,0,0,,RESIDENCE
2001,theft,0,0,0,,RESIDENCE
2001,threat,0,1,1,,RESIDENCE
2001,mvtheft,0,0,0,,STREET
2001,simpleasslt,1,0,1,,COMMERCIAL / BUSINESS OFFICE
2001,simpleasslt,1,0,1,,RESIDENCE
2001,threat,0,0,0,,CHA APARTMENT
2001,vandalism,0,0,1,,RESIDENCE
2001,theft,0,1,0,,GROCERY FOOD STORE
2001,theft,0,0,0,,DRUG STORE
2001,aggasslt,1,0,1,,RESIDENCE
2001,mvtheft,0,0,0,,STREET
2001,burglary,0,0,0,,COMMERCIAL / BUSINESS OFFICE
2001,other,0,0,0,,"SCHOOL, PUBLIC, BUILDING"
2001,burglary,0,1,0,,RESIDENCE-GARAGE
2001,simpleasslt,1,0,1,,RESIDENCE
2001,narcotics,0,1,0,,SIDEWALK
2001,vandalism,0,0,0,,RESIDENCE
2001,vandalism,0,0,0,,STREET
2001,aggasslt,1,0,0,,STREET
2001,narcotics,0,1,0,,RESIDENCE
2001,simpleasslt,1,0,1,,APARTMENT
2001,simpleasslt,1,1,0,,RESIDENCE
2001,narcotics,0,1,0,,ALLEY
2001,theft,0,0,0,,"SCHOOL, PUBLIC, BUILDING"
2001,theft,0,0,0,,STREET
2001,aggasslt,1,1,0,,"SCHOOL, PUBLIC, BUILDING"
2001,vandalism,0,0,0,,PARKING LOT/GARAGE(NON.RESID.)
2001,simpleasslt,1,1,0,,OTHER
2001,simpleasslt,1,0,1,,RESIDENCE
2001,narcotics,0,1,0,,STREET
2001,robbery,1,0,0,,TAVERN/LIQUOR STORE
2001,trespass,0,1,0,,OTHER
2001,burglary,0,0,0,,APARTMENT
2001,threat,0,1,0,,"SCHOOL, PUBLIC, BUILDING"
2001,robbery,1,0,0,,RESIDENCE
2001,burglary,0,0,0,,RESIDENCE
2001,other,0,0,1,,PARKING LOT/GARAGE(NON.RESID.)
2001,fraud,0,1,0,,GOVERNMENT BUILDING/PROPERTY
2001,narcotics,0,1,0,,STREET
2001,theft,0,0,0,,STREET
2001,simpleasslt,1,0,1,,CHA PARKING LOT/GROUNDS
2001,vandalism,0,1,0,,STREET
2001,theft,0,0,0,,PARKING LOT/GARAGE(NON.RESID.)
2001,narcotics,0,1,0,,CHA PARKING LOT/GROUNDS
2001,theft,0,0,0,,STREET
2001,aggasslt,1,0,0,,STREET
2001,threat,0,0,1,,RESIDENCE
2001,fraud,0,1,0,,OTHER
2001,threat,0,0,0,,RESIDENCE
2001,mvtheft,0,0,0,,PARKING LOT/GARAGE(NON.RESID.)
2001,theft,0,0,0,76,AIRPORT/AIRCRAFT
2001,vandalism,0,0,0,,STREET
2001,narcotics,0,1,0,,STREET
2001,threat,0,0,0,,RESIDENCE
2001,burglary,0,0,0,,RESIDENCE
2001,vandalism,0,0,0,,STREET
2001,simpleasslt,1,0,1,,CHA APARTMENT
2001,narcotics,0,1,0,,STREET
2001,vandalism,0,0,0,,STREET
2001,simpleasslt,1,0,0,,STREET
2001,simpleasslt,1,0,1,,APARTMENT
2001,weapon,0,0,0,,STREET
2001,threat,0,0,0,,APARTMENT
2001,threat,0,0,0,,RESIDENCE
2001,aggasslt,1,0,0,,STREET
2001,simpleasslt,1,0,0,,RESIDENCE PORCH/HALLWAY
2001,theft,0,0,0,,COMMERCIAL / BUSINESS OFFICE
2001,theft,0,0,0,,STREET
2001,vandalism,0,0,0,,CHA APARTMENT
2001,theft,0,0,0,,STREET
2001,mvtheft,0,0,0,,STREET
2001,mvtheft,0,0,0,,STREET
2001,theft,0,0,1,,RESIDENCE
2001,theft,0,0,0,,STREET
2001,simpleasslt,1,0,1,,RESIDENCE
2001,burglary,0,0,0,,RESIDENCE
2001,mvtheft,0,0,0,,STREET
2001,theft,0,0,0,,OTHER
2001,theft,0,0,0,,TAVERN/LIQUOR STORE
2001,narcotics,0,1,0,,STREET
2001,theft,0,0,0,,GOVERNMENT BUILDING/PROPERTY
2001,theft,0,0,0,,STREET
2001,fraud,0,1,0,,CTA PLATFORM
2001,other,0,1,0,,STREET
2001,theft,0,0,0,,STREET
2001,theft,0,0,0,,GAS STATION
2001,simpleasslt,1,0,0,,OTHER
2001,theft,0,1,0,,GROCERY FOOD STORE
2001,theft,0,0,0,,DEPARTMENT STORE
2001,aggasslt,1,0,1,,APARTMENT
2001,narcotics,0,1,0,,SIDEWALK
2001,theft,0,0,0,,RESIDENCE
2001,simpleasslt,1,0,1,,RESIDENCE
2001,vandalism,0,0,0,,RESIDENCE
2001,vandalism,0,0,0,,STREET
2001,vandalism,0,0,0,,OTHER
2001,vandalism,0,1,1,,APARTMENT
2001,robbery,1,0,0,,STREET
2001,other,0,0,0,,RESIDENCE
2001,simpleasslt,1,0,1,,APARTMENT
2001,threat,0,0,0,,FEDERAL BUILDING
2001,mvtheft,0,0,0,,STREET
2001,theft,0,0,0,,OTHER
2001,simpleasslt,1,1,1,,BAR OR TAVERN
2001,theft,0,0,0,,CHA PARKING LOT/GROUNDS
2001,aggasslt,1,0,0,,STREET
2001,theft,0,1,0,,SMALL RETAIL STORE
2001,aggasslt,1,1,1,,RESIDENCE
2001,aggasslt,1,0,1,,RESIDENCE
2001,burglary,0,0,0,,COMMERCIAL / BUSINESS OFFICE
2001,narcotics,0,1,0,,SIDEWALK
2001,aggasslt,1,0,1,,RESIDENCE
2001,robbery,1,0,0,,PARK PROPERTY
2001,simpleasslt,1,0,0,,RESIDENCE
2001,simpleasslt,1,0,0,,CHA PARKING LOT/GROUNDS
2001,simpleasslt,1,0,0,,"SCHOOL, PUBLIC, BUILDING"
2001,theft,0,0,0,,RESIDENCE
2001,narcotics,0,1,0,,STREET
2001,simpleasslt,1,0,0,,STREET
2001,vandalism,0,0,0,,GAS STATION
2001,burglary,0,0,0,,APARTMENT
2001,fraud,0,0,0,,MEDICAL/DENTAL OFFICE
2001,threat,0,0,0,,RESIDENCE
2001,theft,0,0,0,76,AIRPORT/AIRCRAFT
2001,theft,0,0,0,76,AIRPORT/AIRCRAFT
2001,threat,0,0,0,,RESIDENCE
2001,narcotics,0,1,0,,SIDEWALK
2001,trespass,0,0,0,,RESIDENCE
2001,trespass,0,0,0,,"SCHOOL, PUBLIC, BUILDING"
2001,simpleasslt,1,0,1,,STREET
2001,robbery,1,0,0,,RESIDENCE PORCH/HALLWAY
2001,simpleasslt,1,0,1,,RESIDENCE
2001,threat,0,0,0,,RESIDENCE
2001,simpleasslt,1,1,0,,STREET
2001,simpleasslt,1,0,0,,RESIDENCE
2001,robbery,1,1,0,,STREET
2001,theft,0,0,0,,OTHER
2001,threat,0,0,0,,RESIDENCE
2001,vandalism,0,0,0,,RESIDENCE
2001,weapon,0,1,0,,OTHER
2001,weapon,0,1,0,,STREET
2001,vandalism,0,0,0,,OTHER
2001,theft,0,0,1,,RESIDENCE
2001,theft,0,0,0,,RESTAURANT
2001,theft,0,1,0,,GROCERY FOOD STORE
2001,weapon,0,1,0,,SIDEWALK
2001,mvtheft,0,0,0,,PARKING LOT/GARAGE(NON.RESID.)
2001,theft,0,0,0,,VEHICLE NON-COMMERCIAL
2001,mvtheft,0,1,0,,ALLEY
2001,theft,0,0,0,,STREET
2001,aggasslt,1,0,1,,STREET
2001,narcotics,0,1,0,,SIDEWALK
2001,threat,0,0,0,,RESIDENCE
2001,robbery,1,0,0,,STREET
2001,simpleasslt,1,0,0,,OTHER
2001,fraud,0,1,0,,CTA PLATFORM
2001,threat,0,0,0,,OTHER
2001,trespass,0,1,0,,RESTAURANT
2001,aggasslt,1,0,0,,STREET
2001,theft,0,0,0,,GAS STATION
2001,simpleasslt,1,1,0,,CHA HALLWAY/STAIRWELL/ELEVATOR
2001,simpleasslt,1,1,0,,RESIDENCE
2001,robbery,1,0,0,,APARTMENT
2001,robbery,1,0,0,,STREET
2001,narcotics,0,1,0,,SIDEWALK
2001,simpleasslt,1,0,0,,SIDEWALK
2001,simpleasslt,1,0,0,,STREET
2001,theft,0,0,0,,STREET
2001,burglary,0,0,0,,RESTAURANT
2001,robbery,1,0,0,,STREET
2001,theft,0,0,0,,STREET
2001,vandalism,0,0,0,,STREET
2001,threat,0,0,0,,RESIDENCE
2001,burglary,0,0,0,,RESIDENCE
2001,simpleasslt,1,0,0,,STREET
2001,theft,0,1,0,,DEPARTMENT STORE
2001,trespass,0,1,0,,OTHER
2001,aggasslt,1,0,0,,CHA PARKING LOT/GROUNDS
2001,vandalism,0,0,0,,STREET
2001,vandalism,0,0,0,,ALLEY
2001,narcotics,0,1,0,,STREET
2001,simpleasslt,1,0,1,,STREET
2001,burglary,0,0,0,,RESIDENCE
2001,theft,0,0,0,,OTHER
2001,vandalism,0,0,0,,STREET
2001,theft,0,0,0,,STREET
2001,burglary,0,0,0,,RESIDENCE
2001,theft,0,0,0,,COMMERCIAL / BUSINESS OFFICE
2001,narcotics,0,1,0,,SIDEWALK
2001,theft,0,0,0,,RESIDENCE
2001,theft,0,0,0,,STREET
2001,theft,0,0,0,,STREET
2001,fraud,0,0,0,,GROCERY FOOD STORE
2001,theft,0,0,0,,PARK PROPERTY
2001,narcotics,0,1,0,,STREET
2001,simpleasslt,1,0,1,,RESIDENCE
2001,simpleasslt,1,0,1,,STREET
2001,theft,0,0,0,,STREET
2001,vandalism,0,0,0,,STREET
2001,aggasslt,1,0,0,,STREET
2001,simpleasslt,1,0,0,,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
2001,simpleasslt,1,0,0,,APARTMENT
2001,theft,0,1,0,,PARKING LOT/GARAGE(NON.RESID.)
2001,mvtheft,0,0,0,,STREET
2001,mvtheft,0,0,0,,RESIDENCE
2001,vandalism,0,1,0,,RESIDENCE
2001,simpleasslt,1,0,1,,RESIDENCE
2001,burglary,0,0,0,,RESIDENCE
2001,threat,0,0,1,,CHA APARTMENT
2001,simpleasslt,1,0,0,,SIDEWALK
2001,fraud,0,1,0,,RESIDENCE
2001,vandalism,0,0,0,,PARKING LOT/GARAGE(NON.RESID.)
2001,theft,0,0,0,,OTHER
2001,theft,0,1,0,,WAREHOUSE
2001,burglary,0,0,0,,GOVERNMENT BUILDING/PROPERTY
2001,theft,0,0,0,,RESIDENCE
2001,vandalism,0,0,1,,RESIDENCE PORCH/HALLWAY
2001,aggasslt,1,0,0,,STREET
2001,threat,0,0,0,,COMMERCIAL / BUSINESS OFFICE
2001,robbery,1,0,0,,STREET
2001,aggasslt,1,1,0,,STREET
2001,theft,0,0,0,,RESTAURANT
2001,narcotics,0,1,0,,STREET
2001,other,0,0,0,,STREET
2001,burglary,0,0,0,,RESIDENCE-GARAGE
2001,fraud,0,1,0,14,GROCERY FOOD STORE
2001,simpleasslt,1,0,0,,STREET
2001,narcotics,0,1,0,,STREET
2001,simpleasslt,1,0,1,,APARTMENT
2001,fraud,0,0,0,,RESIDENCE
2001,theft,0,0,0,,STREET
2001,other,0,0,0,,RESIDENCE-GARAGE
