countyname,countynum,sampsize,popsize,radon
Stearns,73,27,36000,3.7
Stearns,73,27,36000,5
Stearns,73,27,36000,3.3
Stearns,73,27,36000,3.3
Stearns,73,27,36000,14.5
Stearns,73,27,36000,1.3
Stearns,73,27,36000,1.8
Stearns,73,27,36000,5
Stearns,73,27,36000,1.5
Stearns,73,27,36000,1
Stearns,73,27,36000,5.7
Stearns,73,27,36000,7.4
Stearns,73,27,36000,2.2
Stearns,73,27,36000,7.5
Stearns,73,27,36000,2.6
Stearns,73,27,36000,7.4
Stearns,73,27,36000,10.1
Stearns,73,27,36000,5.5
Stearns,73,27,36000,5
Stearns,73,27,36000,4.7
Stearns,73,27,36000,2.6
Stearns,73,27,36000,4.9
Steele,74,10,11000,8.6
Steele,74,10,11000,7.3
Steele,74,10,11000,3.7
Steele,74,10,11000,2.9
Steele,74,10,11000,4.4
Steele,74,10,11000,8.4
Steele,74,10,11000,5.1
Steele,74,10,11000,10.6
Steele,74,10,11000,3.6
Steele,74,10,11000,1.5
Stevens,75,2,3700,8
Stevens,75,2,3700,4.5
Swift,76,4,4700,3
Swift,76,4,4700,2.4
Swift,76,4,4700,4.8
Swift,76,4,4700,1.5
Todd,77,4,9400,2.1
Todd,77,4,9400,1.3
Todd,77,4,9400,6.8
Todd,77,4,9400,6
Traverse,78,5,1700,2.9
Traverse,78,5,1700,19.3
Traverse,78,5,1700,4
Traverse,78,5,1700,1.1
Traverse,78,5,1700,7.1
Wabasha,79,7,7400,3.1
Wabasha,79,7,7400,5.9
Wabasha,79,7,7400,9.6
Wabasha,79,7,7400,9
Wabasha,79,7,7400,11.5
Wabasha,79,7,7400,8.4
Wabasha,79,7,7400,1.1
Wadena,80,5,5000,4.7
Wadena,80,5,5000,3.2
Wadena,80,5,5000,0.7
Wadena,80,5,5000,2.9
Wadena,80,5,5000,3.1
Waseca,81,4,6900,9.3
Waseca,81,4,6900,0.5
Waseca,81,4,6900,1.7
Waseca,81,4,6900,0.9
Washington,82,50,42400,10.2
Washington,82,50,42400,2.8
Washington,82,50,42400,7.7
Washington,82,50,42400,2.2
Washington,82,50,42400,20.4
Washington,82,50,42400,4.7
Washington,82,50,42400,1.7
Washington,82,50,42400,9.8
Washington,82,50,42400,6.5
Washington,82,50,42400,4.9
Washington,82,50,42400,2.5
Washington,82,50,42400,10.7
Washington,82,50,42400,1.8
Washington,82,50,42400,12.2
Washington,82,50,42400,2.4
Washington,82,50,42400,1.6
Washington,82,50,42400,1.9
Washington,82,50,42400,2.1
Washington,82,50,42400,0.8
Washington,82,50,42400,1.3
Washington,82,50,42400,1.3
Washington,82,50,42400,4.6
Washington,82,50,42400,1.2
Washington,82,50,42400,6
Washington,82,50,42400,4.7
Washington,82,50,42400,3.7
Washington,82,50,42400,2.4
Washington,82,50,42400,3.3
Washington,82,50,42400,6.6
Washington,82,50,42400,5.3
Washington,82,50,42400,1
Washington,82,50,42400,13.4
Washington,82,50,42400,8.5
Washington,82,50,42400,6.6
Washington,82,50,42400,1.9
Washington,82,50,42400,1.2
Washington,82,50,42400,2.9
Washington,82,50,42400,3.8
Washington,82,50,42400,6.2
Washington,82,50,42400,4.3
Washington,82,50,42400,3.8
Washington,82,50,42400,1.7
Washington,82,50,42400,1.8
Washington,82,50,42400,5.9
Washington,82,50,42400,6.5
Washington,82,50,42400,0.8
Washington,82,50,42400,4.3
Washington,82,50,42400,3
Washington,82,50,42400,12.7
Washington,82,50,42400,5.3
Watonwan,83,3,4700,10.2
Watonwan,83,3,4700,13.8
Watonwan,83,3,4700,5.7
Wilkin,84,1,2800,9.3
Winona,85,13,16100,0.7
Winona,85,13,16100,7.2
Winona,85,13,16100,4.1
Winona,85,13,16100,4.7
Winona,85,13,16100,10.2
Winona,85,13,16100,4.7
Winona,85,13,16100,11.3
Winona,85,13,16100,6.1
Winona,85,13,16100,3.4
Winona,85,13,16100,7.6
Winona,85,13,16100,11.8
Winona,85,13,16100,1.8
Winona,85,13,16100,0.5
Wright,86,14,21600,2.1
Wright,86,14,21600,15.9
Wright,86,14,21600,2.3
Wright,86,14,21600,4.5
Wright,86,14,21600,2.2
Wright,86,14,21600,5.1
Wright,86,14,21600,6.7
Wright,86,14,21600,6.4
Wright,86,14,21600,7.3
Wright,86,14,21600,9.5
Wright,86,14,21600,5.3
Wright,86,14,21600,5
Wright,86,14,21600,3.1
Wright,86,14,21600,8.7
Yellow Medicine,87,3,4600,3.7
Yellow Medicine,87,3,4600,2.9
Yellow Medicine,87,3,4600,3.7
